OBJECTID;MUNICIPIO;Estado;Região
5300;Capitão Poço ; PA;Norte
5301;Novo Santo Antônio ; PI;Nordeste
5302;Irituia ; PA;Norte
5303;Abaetetuba ; PA;Norte
5304;Bacuri ; MA;Nordeste
5305;Rosário ; MA;Nordeste
5306;Ourém ; PA;Norte
5307;Porto de Moz ; PA;Norte
5308;Mucambo ; CE;Nordeste
5309;Acará ; PA;Norte
5310;Marituba ; PA;Norte
5311;Igaracy ; PB;Nordeste
5312;Bujaru ; PA;Norte
5313;São Miguel do Guamá ; PA;Norte
5314;Lagoa Seca ; PB;Nordeste
5315;Curuá ; PA;Norte
5316;Sulina ; PR;Sul
5317;Santa Luzia do Pará ; PA;Norte
5318;Benevides ; PA;Norte
5319;Curralinho ; PA;Norte
5320;São Francisco do Pará ; PA;Norte
5321;Ananindeua ; PA;Norte
5322;Barcarena ; PA;Norte
5323;Triunfo ; PB;Nordeste
5324;Santa Bárbara do Pará ; PA;Norte
5325;Marcelino Vieira ; RN;Nordeste
5326;Aguiar ; PB;Nordeste
5327;São Sebastião da Boa Vista ; PA;Norte
5328;Milagres ; CE;Nordeste
5329;Carutapera ; MA;Nordeste
5330;Belém ; PA;Norte
5331;Santarém Novo ; PA;Norte
5332;São João da Ponta ; PA;Norte
5333;Muaná ; PA;Norte
5334;Vitória do Jari ; AP;Norte
5335;Remígio ; PB;Nordeste
5336;Jurema ; PI;Nordeste
5337;Tracuateua ; PA;Norte
5338;Capanema ; PA;Norte
5339;Colares ; PA;Norte
5340;Quatipuru ; PA;Norte
5341;Caraúbas do Piauí ; PI;Nordeste
5342;Ponta de Pedras ; PA;Norte
5343;Cachoeira dos Índios ; PB;Nordeste
5344;Vigia ; PA;Norte
5345;Salvaterra ; PA;Norte
5346;Magalhães Barata ; PA;Norte
5347;Santo Antônio do Tauá ; PA;Norte
5348;São João de Pirabas ; PA;Norte
5349;Atalanta ; SC;Sul
5350;Joca Marques ; PI;Nordeste
5351;Salinópolis ; PA;Norte
5352;Maracanã ; PA;Norte
5353;Cachoeira do Arari ; PA;Norte
5354;São João da Varjota ; PI;Nordeste
5355;Regeneração ; PI;Nordeste
5356;Anajás ; PA;Norte
5357;Itaúna do Sul ; PR;Sul
5358;Soure ; PA;Norte
5359;Guaporema ; PR;Sul
5360;Gurupá ; PA;Norte
5361;Afuá ; PA;Norte
5362;Igarapé-Açu; PA;Norte
